id;medication_id;interacting_drug;interaction_type;severity;description;recommendation;created_at
5eef5eba-819b-400a-bad1-efe76aa0d302;a3b6a6ee-0ed6-4412-b0e0-82501edde4c8;ACE-Hemmer, Angiotensin-II-Rezeptor-Antagonisten ou Aliskiren;increased_toxicity;major;L'utilisation concomitante de ces médicaments augmente le risque d'hypotension, d'hyperkaliémie et de diminution de la fonction rénale (y compris l'insuffisance rénale aiguë).;La double inhibition du SRAA n'est pas recommandée. Si absolument nécessaire, sous surveillance d'un spécialiste avec contrôle étroit de la fonction rénale, des électrolytes et de la tension artérielle. Contre-indiqué en cas de néphropathie diabétique ou d'insuffisance rénale (DFG <60 ml/min/1,73 m²).;2025-12-07 21:52:35.689153+00
101c8913-2aff-446d-a466-4340a6cf66ab;a3b6a6ee-0ed6-4412-b0e0-82501edde4c8;ACE-Hemmer, Mineralokortikoid-Rezeptor-Antagonisten und Candesartan Sandoz;increased_toxicity;major;Triple combinaison non recommandée, risque accru de problèmes rénaux et de déséquilibre électrolytique.;Ne devrait être utilisé que sous la surveillance d'un spécialiste et avec une surveillance étroite de la fonction rénale, des électrolytes et de la tension artérielle.;2025-12-07 21:52:35.72027+00
c9b1f332-71c1-492c-af8c-0bd843ca7bc8;a3b6a6ee-0ed6-4412-b0e0-82501edde4c8;Diurétiques épargneurs de potassium, médicaments contenant du potassium (suppléments ou substituts de sels de potassium) ou autres substances augmentant la concentration de potassium (ex. héparine, cotrimoxazole);increased_toxicity;moderate;Peuvent entraîner une augmentation des taux sériques de potassium, surtout chez les patients hypertendus ou insuffisants cardiaques.;Une surveillance périodique du potassium sérique est recommandée, en particulier chez les patients atteints d'insuffisance cardiaque traités par Candesartan Sandoz en association avec des IEC et des diurétiques épargneurs de potassium comme la spironolactone.;2025-12-07 21:52:35.783595+00
9eaedf2e-bae1-4ec1-89cb-65427c01a398;a3b6a6ee-0ed6-4412-b0e0-82501edde4c8;Anesthésiques et procédures chirurgicales;increased_toxicity;moderate;Une hypotension peut survenir due à l'inhibition du système rénine-angiotensine.;Dans de très rares cas, l'hypotension peut être si grave qu'une administration intraveineuse de liquides et/ou d'un vasopresseur peut être justifiée.;2025-12-07 21:52:35.831318+00
5d6c3536-e76d-44d1-ae7f-5d496ddc1663;a3b6a6ee-0ed6-4412-b0e0-82501edde4c8;CYP2C9 et CYP3A4 (in vitro);;minor;Les études d'interaction in vitro indiquent que le candésartan n'inhibe pas le CYP2C9 et le CYP3A4. (Information tronquée, mais l'absence d'inhibition suggère une interaction minimale ou nulle);;2025-12-07 21:52:35.857872+00
cb241bcd-677e-4e62-b207-3517a877d32b;745e9e61-0671-442e-af34-823e8b92edf0;Enzyminduktoren (Phenobarbital, Carbamazepin, Isonicotinsäurehydrazid (Isoniazid, INH), Rifampicin);increased_toxicity;moderate;Steigern die Hepatotoxizität von Paracetamol.;Vorsicht geboten bei gleichzeitiger Gabe.;2025-12-07 21:53:48.506029+00
33b7fdd7-c2ed-4ae4-9390-4403f330e080;745e9e61-0671-442e-af34-823e8b92edf0;Phenytoin;decreased_efficacy;moderate;Verminderte Wirksamkeit von Paracetamol und durch den Anstieg toxischer Paracetamol-Metaboliten ein gesteigertes Risiko einer Hepatotoxizität.;Patienten, die eine Phenytoin Therapie erhalten, sollten eine übermässige und/oder chronische Einnahme von Paracetamol vermeiden. Patienten sollten auf Hinweise einer Hepatotoxizität überwacht werden.;2025-12-07 21:53:48.543012+00
faa99b71-10d0-4574-b1cb-89f13e09481b;745e9e61-0671-442e-af34-823e8b92edf0;Alkohol;increased_toxicity;major;Kann die Hepatotoxizität von Paracetamol steigern, dies insbesondere bei gleichzeitiger Nahrungskarenz oder Mangelernährung. In solchen Fällen kann bereits eine therapeutische Paracetamoldosis zu Leberschädigung führen.;Alkoholkonsum während der Behandlung wird nicht empfohlen.;2025-12-07 21:53:48.582854+00
c14d8975-827d-4658-bb0c-a141004c595d;745e9e61-0671-442e-af34-823e8b92edf0;Mittel, welche die Magenentleerung verlangsamen (z.B. Propanthelin);antagonism;minor;Senken die Resorptionsgeschwindigkeit von Paracetamol.;;2025-12-07 21:53:48.623755+00
2b499783-4e20-4f52-9e53-a076e23bfb8c;745e9e61-0671-442e-af34-823e8b92edf0;Mittel, welche die Magenentleerung beschleunigen (z.B. Metoclopramid);potentiation;minor;Steigern die Resorptionsgeschwindigkeit von Paracetamol.;;2025-12-07 21:53:48.659929+00
