id;name;icd_code;synonyms;description;category;specialty;severity;created_at;updated_at
2dcbd53a-8671-4718-9f80-8fce95482c26;Botulism;A05.1;"[""Botulisme""]";Botulism;Infectieuse;Infectiologie;mild;2025-12-07 19:55:39.41535+00;2025-12-07 20:07:33.5382+00
96bce509-2858-4f2d-8578-25900658302f;Malignant neoplasm of hard palate;C05.0;"[""Neoplasma ganas dari langit-langit keras""]";Malignant neoplasm of hard palate;Oncologique;Oncologie;critical;2025-12-07 19:56:40.523564+00;2025-12-07 20:07:34.174612+00
19f6eb36-734f-4d40-aa99-95f599dbf123;Malignant neoplasm of soft palate;C05.1;"[""Neoplasma ganas dari langit-langit lunak""]";Malignant neoplasm of soft palate;Oncologique;Oncologie;critical;2025-12-07 19:56:40.523564+00;2025-12-07 20:07:34.174612+00
806762d2-841d-4a50-b85d-57e0dcdda9b3;Trigonitis;N30.3;"[""Trigonitis""]";Trigonitis;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
afc23d96-f985-4155-a5bd-969e8c2f10aa;Irradiation cystitis;N30.4;"[""iradiasi cystitis""]";Irradiation cystitis;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
150426c1-2c4f-4179-a0ad-ba39858d0709;Other cystitis;N30.8;"[""cystitis lainnya""]";Other cystitis;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
cfa48215-8eed-462a-8dbf-e0aa12582cb8;Cystitis, unspecified;N30.9;"[""Cystitis , tidak spesifik""]";Cystitis, unspecified;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
a15a862f-d89b-43ea-8b0c-3df58b7171f3;Uninhibited neuropathic bladder, not elsewhere classified;N31.0;"[""Tanpa hambatan kandung kemih neuropatik , tidak diklasifikasikan di tempat lain""]";Uninhibited neuropathic bladder, not elsewhere classified;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
736c800e-5311-44f0-ad0a-bfe9020174b7;Reflex neuropathic bladder, not elsewhere classified;N31.1;"[""Refleks kandung kemih neuropatik , tidak diklasifikasikan di tempat lain""]";Reflex neuropathic bladder, not elsewhere classified;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
df05297e-a034-4680-abba-048377bde5d7;Flaccid neuropathic bladder, not elsewhere classified;N31.2;"[""Lembek kandung kemih neuropatik , tidak diklasifikasikan di tempat lain""]";Flaccid neuropathic bladder, not elsewhere classified;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
4c369093-7ab0-4ef4-81da-e1dd75bf4481;Other neuromuscular dysfunction of bladder;N31.8;"[""Disfungsi neuromuskular lainnya kandung kemih""]";Other neuromuscular dysfunction of bladder;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
7e0127b7-9b3d-4b84-862c-bd700829a962;Neuromuscular dysfunction of bladder, unspecified;N31.9;"[""Disfungsi neuromuskular kandung kemih , tidak spesifik""]";Neuromuscular dysfunction of bladder, unspecified;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
8d119811-15f2-44f1-95b9-ed6df13613ee;Bladder-neck obstruction;N32.0;"[""Obstruksi kandung kemih -neck""]";Bladder-neck obstruction;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
8e267c95-0063-489b-858c-df99d176cdac;Vesicointestinal fistula;N32.1;"[""fistula Vesicointestinal""]";Vesicointestinal fistula;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
