id;medication_id;name;frequency;body_system;description;severity;created_at
164e4c31-a30c-4414-9b0b-c30b791c8c64;745e9e61-0671-442e-af34-823e8b92edf0;Thrombozytopenie;rare;Blut und Lymphsystem;;;2025-12-07 21:53:47.326669+00
b0936c3e-bcc1-4a9d-b013-097d32788184;745e9e61-0671-442e-af34-823e8b92edf0;Neutropenie;rare;Blut und Lymphsystem;;;2025-12-07 21:53:47.368657+00
c15ec2ba-5725-4d15-99f3-5d026942f9c9;745e9e61-0671-442e-af34-823e8b92edf0;Leukopenie;rare;Blut und Lymphsystem;;;2025-12-07 21:53:47.40815+00
d79f0be2-40c1-4041-ac1f-769c8e63949b;745e9e61-0671-442e-af34-823e8b92edf0;Agranulozytose;rare;Blut und Lymphsystem;;;2025-12-07 21:53:47.445395+00
f7cd27d3-d945-4e86-9a45-8c8089a311b2;745e9e61-0671-442e-af34-823e8b92edf0;Panzytopenie;rare;Blut und Lymphsystem;;;2025-12-07 21:53:47.479541+00
1aea742e-86b9-4343-8ede-320d765a4d44;745e9e61-0671-442e-af34-823e8b92edf0;Hämolytische Anämie;rare;Blut und Lymphsystem;speziell bei Patienten mit G-6-PD-Mangel;;2025-12-07 21:53:47.514969+00
4af80dc1-20ef-4d7c-8764-bb4426056dfc;745e9e61-0671-442e-af34-823e8b92edf0;Anaphylaktische Reaktion;rare;Immunsystem;einschliesslich Hypotonie;severe;2025-12-07 21:53:47.557858+00
2f08b764-4b33-4507-b933-a8846ed1d56e;745e9e61-0671-442e-af34-823e8b92edf0;Anaphylaktischer Schock;rare;Immunsystem;;severe;2025-12-07 21:53:47.593351+00
e54c4fd6-ed21-46e3-aca1-107dc2753cde;745e9e61-0671-442e-af34-823e8b92edf0;Überempfindlichkeitsreaktion;rare;Immunsystem;;;2025-12-07 21:53:47.644046+00
846f7cf1-985b-4594-9075-767ff36d2c5e;745e9e61-0671-442e-af34-823e8b92edf0;Angioödem;rare;Immunsystem;;;2025-12-07 21:53:47.68354+00
